income_bin,Ethnic,rural,distance,FIND_DIV_1000,dp
"(50.54,51.53]",White,Rural,22.73586791,51,dp1
"(50.54,51.53]",White,Urban,5.84469917,51,dp1
"(51.53,52.52]",Asian,Rural,15.00438944,52,dp1
"(51.53,52.52]",Asian,Urban,2.381934438,52,dp1
"(51.53,52.52]",Black or African American,Rural,24.39745299,52,dp1
"(51.53,52.52]",Black or African American,Urban,4.13592264,52,dp1
"(51.53,52.52]",Hispanic,Rural,16.09364364,52,dp1
"(51.53,52.52]",Hispanic,Urban,3.787182539,52,dp1
"(51.53,52.52]",White,Rural,23.13041725,52,dp1
"(51.53,52.52]",White,Urban,5.828031345,52,dp1
"(52.52,53.51]",Asian,Rural,14.16957991,53,dp1
"(52.52,53.51]",Asian,Urban,2.401036024,53,dp1
"(52.52,53.51]",Black or African American,Rural,23.01820818,53,dp1
"(52.52,53.51]",Black or African American,Urban,4.147988013,53,dp1
"(52.52,53.51]",Hispanic,Rural,15.91805173,53,dp1
"(52.52,53.51]",Hispanic,Urban,3.72500796,53,dp1
"(52.52,53.51]",White,Rural,22.64132478,53,dp1
"(52.52,53.51]",White,Urban,5.81006142,53,dp1
"(53.51,54.5]",Asian,Rural,18.24037914,54,dp1
"(53.51,54.5]",Asian,Urban,2.336821458,54,dp1
"(53.51,54.5]",Black or African American,Rural,24.11200338,54,dp1
"(53.51,54.5]",Black or African American,Urban,4.153136663,54,dp1
"(53.51,54.5]",Hispanic,Rural,18.41690793,54,dp1
"(53.51,54.5]",Hispanic,Urban,3.715623847,54,dp1
"(53.51,54.5]",White,Rural,23.02280817,54,dp1
"(53.51,54.5]",White,Urban,5.722239057,54,dp1
"(54.5,55.49]",Asian,Rural,9.832240558,55,dp1
"(54.5,55.49]",Asian,Urban,2.431252885,55,dp1
"(54.5,55.49]",Black or African American,Rural,23.47973987,55,dp1
"(54.5,55.49]",Black or African American,Urban,4.036087917,55,dp1
"(54.5,55.49]",Hispanic,Rural,14.44273404,55,dp1
"(54.5,55.49]",Hispanic,Urban,3.805634882,55,dp1
"(54.5,55.49]",White,Rural,22.16263656,55,dp1
"(54.5,55.49]",White,Urban,5.738607974,55,dp1
"(55.49,56.48]",Asian,Rural,15.81412433,56,dp1
"(55.49,56.48]",Asian,Urban,2.566013355,56,dp1
"(55.49,56.48]",Black or African American,Rural,22.89800654,56,dp1
"(55.49,56.48]",Black or African American,Urban,4.049820023,56,dp1
"(55.49,56.48]",Hispanic,Rural,14.79507143,56,dp1
"(55.49,56.48]",Hispanic,Urban,3.659910468,56,dp1
"(55.49,56.48]",White,Rural,22.18216144,56,dp1
"(55.49,56.48]",White,Urban,5.737566882,56,dp1
"(56.48,57.47]",Asian,Rural,20.27718256,57,dp1
"(56.48,57.47]",Asian,Urban,2.3705582,57,dp1
"(56.48,57.47]",Black or African American,Rural,24.04578499,57,dp1
"(56.48,57.47]",Black or African American,Urban,4.030591492,57,dp1
"(56.48,57.47]",Hispanic,Rural,14.82959819,57,dp1
"(56.48,57.47]",Hispanic,Urban,3.685031719,57,dp1
"(56.48,57.47]",White,Rural,22.60654081,57,dp1
"(56.48,57.47]",White,Urban,5.682416667,57,dp1
"(57.47,58.46]",Asian,Rural,13.01148046,58,dp1
"(57.47,58.46]",Asian,Urban,2.458857621,58,dp1
"(57.47,58.46]",Black or African American,Rural,22.07919602,58,dp1
"(57.47,58.46]",Black or African American,Urban,4.491891041,58,dp1
"(57.47,58.46]",Hispanic,Rural,14.08717147,58,dp1
"(57.47,58.46]",Hispanic,Urban,3.755069451,58,dp1
"(57.47,58.46]",White,Rural,21.84977606,58,dp1
"(57.47,58.46]",White,Urban,5.862011302,58,dp1
"(58.46,59.45]",Asian,Rural,16.27209139,59,dp1
"(58.46,59.45]",Asian,Urban,2.528376638,59,dp1
"(58.46,59.45]",Black or African American,Rural,23.10788563,59,dp1
"(58.46,59.45]",Black or African American,Urban,4.271355235,59,dp1
"(58.46,59.45]",Hispanic,Rural,13.9186362,59,dp1
"(58.46,59.45]",Hispanic,Urban,3.705348663,59,dp1
